"id","name","amount","stage","probability","closeDate","contact.name","contact.email","contact.phone","contact.company","contact.title","createdAt","updatedAt","activities.type","activities.date","activities.notes"
"D00001","Witting Group - Gorgeous Granite Towels",86453,"lead",13,"2025-11-25","Josefina Welch","cleo8@yahoo.com","614.299.8218 x279","Kovacek, Schmidt and Mohr","Customer Response Executive","2025-07-20T01:03:31.451Z","2025-09-01T06:51:28.339Z","call","2025-08-13","Aduro tubineus vulgus dolorum cupressus textilis suasoria provident."
"D00002","Beier - Gottlieb - Bespoke Bronze Car",474824,"qualified",21,"2025-11-16","Bernard Terry","mafalda.satterfield@yahoo.com","818.267.8169 x392","Hintz Group","National Integration Executive","2025-05-30T02:16:42.288Z","2025-05-30T19:54:03.062Z","call","2025-05-30","Damnatio vinum timidus sum terminatio corona."
"D00003","Hammes, Predovic and Leannon - Licensed Plastic Soap",255738,"proposal",41,"2026-01-19","Sandy Pouros","caroline_fisher22@hotmail.com","1-337-442-1574","Padberg Group","Direct Accountability Agent","2025-10-23T00:28:20.748Z","2025-10-26T12:59:17.404Z","meeting","2025-10-23","Veniam patria suadeo."
"D00003","Hammes, Predovic and Leannon - Licensed Plastic Soap",255738,"proposal",41,"2026-01-19","Sandy Pouros","caroline_fisher22@hotmail.com","1-337-442-1574","Padberg Group","Direct Accountability Agent","2025-10-23T00:28:20.748Z","2025-10-26T12:59:17.404Z","call","2025-10-23","Amicitia vero bellum tener vulgo abstergo abundans."
"D00003","Hammes, Predovic and Leannon - Licensed Plastic Soap",255738,"proposal",41,"2026-01-19","Sandy Pouros","caroline_fisher22@hotmail.com","1-337-442-1574","Padberg Group","Direct Accountability Agent","2025-10-23T00:28:20.748Z","2025-10-26T12:59:17.404Z","email","2025-10-23","Damnatio odio aufero sponte vaco calamitas dens."
"D00003","Hammes, Predovic and Leannon - Licensed Plastic Soap",255738,"proposal",41,"2026-01-19","Sandy Pouros","caroline_fisher22@hotmail.com","1-337-442-1574","Padberg Group","Direct Accountability Agent","2025-10-23T00:28:20.748Z","2025-10-26T12:59:17.404Z","call","2025-10-25","Patior argentum cilicium quaerat abscido uredo."
"D00004","King - Brown - Frozen Marble Chips",132363,"negotiation",79,"2025-12-05","Mr. Max Kerluke-Hodkiewicz","ethel_macgyver95@yahoo.com","314-935-0469 x3752","Pfannerstill, Huel and Brekke","International Operations Supervisor","2025-05-22T18:39:53.624Z","2025-06-27T20:16:44.781Z","call","2025-06-22","Conduco odio suppellex velit creo vehemens."
"D00004","King - Brown - Frozen Marble Chips",132363,"negotiation",79,"2025-12-05","Mr. Max Kerluke-Hodkiewicz","ethel_macgyver95@yahoo.com","314-935-0469 x3752","Pfannerstill, Huel and Brekke","International Operations Supervisor","2025-05-22T18:39:53.624Z","2025-06-27T20:16:44.781Z","call","2025-06-11","Stipes clementia adsum."
"D00004","King - Brown - Frozen Marble Chips",132363,"negotiation",79,"2025-12-05","Mr. Max Kerluke-Hodkiewicz","ethel_macgyver95@yahoo.com","314-935-0469 x3752","Pfannerstill, Huel and Brekke","International Operations Supervisor","2025-05-22T18:39:53.624Z","2025-06-27T20:16:44.781Z","email","2025-06-14","Conduco arguo libero."
"D00004","King - Brown - Frozen Marble Chips",132363,"negotiation",79,"2025-12-05","Mr. Max Kerluke-Hodkiewicz","ethel_macgyver95@yahoo.com","314-935-0469 x3752","Pfannerstill, Huel and Brekke","International Operations Supervisor","2025-05-22T18:39:53.624Z","2025-06-27T20:16:44.781Z","call","2025-06-07","Desidero videlicet vix debilito."
"D00004","King - Brown - Frozen Marble Chips",132363,"negotiation",79,"2025-12-05","Mr. Max Kerluke-Hodkiewicz","ethel_macgyver95@yahoo.com","314-935-0469 x3752","Pfannerstill, Huel and Brekke","International Operations Supervisor","2025-05-22T18:39:53.624Z","2025-06-27T20:16:44.781Z","demo","2025-05-25","Xiphias subiungo infit decumbo."
"D00005","Corwin LLC - Incredible Bronze Salad",274169,"closed-won",100,"2025-12-11","Lillie Ebert","daniela.auer26@hotmail.com","975-421-4671 x36061","Treutel, Schaden and Gerlach","Corporate Interactions Agent","2025-09-13T02:23:20.897Z","2025-10-13T23:35:55.531Z","call","2025-10-07","Possimus amo debeo trans despecto coniuratio cur volva catena."
"D00005","Corwin LLC - Incredible Bronze Salad",274169,"closed-won",100,"2025-12-11","Lillie Ebert","daniela.auer26@hotmail.com","975-421-4671 x36061","Treutel, Schaden and Gerlach","Corporate Interactions Agent","2025-09-13T02:23:20.897Z","2025-10-13T23:35:55.531Z","meeting","2025-10-08","Tandem hic aufero attollo."
"D00005","Corwin LLC - Incredible Bronze Salad",274169,"closed-won",100,"2025-12-11","Lillie Ebert","daniela.auer26@hotmail.com","975-421-4671 x36061","Treutel, Schaden and Gerlach","Corporate Interactions Agent","2025-09-13T02:23:20.897Z","2025-10-13T23:35:55.531Z","demo","2025-09-18","Recusandae solus termes super ullam aestus creo eaque teneo tunc."
"D00005","Corwin LLC - Incredible Bronze Salad",274169,"closed-won",100,"2025-12-11","Lillie Ebert","daniela.auer26@hotmail.com","975-421-4671 x36061","Treutel, Schaden and Gerlach","Corporate Interactions Agent","2025-09-13T02:23:20.897Z","2025-10-13T23:35:55.531Z","meeting","2025-09-21","Sono quasi votum."
"D00005","Corwin LLC - Incredible Bronze Salad",274169,"closed-won",100,"2025-12-11","Lillie Ebert","daniela.auer26@hotmail.com","975-421-4671 x36061","Treutel, Schaden and Gerlach","Corporate Interactions Agent","2025-09-13T02:23:20.897Z","2025-10-13T23:35:55.531Z","call","2025-09-19","Cresco utrimque tamen vos denique perspiciatis stabilis."
"D00005","Corwin LLC - Incredible Bronze Salad",274169,"closed-won",100,"2025-12-11","Lillie Ebert","daniela.auer26@hotmail.com","975-421-4671 x36061","Treutel, Schaden and Gerlach","Corporate Interactions Agent","2025-09-13T02:23:20.897Z","2025-10-13T23:35:55.531Z","meeting","2025-09-13","Cibus cultura appello timor pauper admoveo tergum reprehenderit."
"D00005","Corwin LLC - Incredible Bronze Salad",274169,"closed-won",100,"2025-12-11","Lillie Ebert","daniela.auer26@hotmail.com","975-421-4671 x36061","Treutel, Schaden and Gerlach","Corporate Interactions Agent","2025-09-13T02:23:20.897Z","2025-10-13T23:35:55.531Z","demo","2025-10-07","Deputo solitudo delectatio animi sapiente viridis utor damno clam."
"D00006","Hane - Wilderman - Soft Wooden Cheese",123444,"closed-lost",0,"2025-11-30","Dr. Geoffrey Balistreri","kadin_fadel@hotmail.com","(330) 887-6608 x3371","Vandervort, Goldner and Muller","Central Assurance Associate","2025-09-17T07:07:38.789Z","2025-10-14T14:21:32.845Z","call","2025-10-01","Est viscus desipio dicta clementia candidus ventito chirographum apparatus."
"D00006","Hane - Wilderman - Soft Wooden Cheese",123444,"closed-lost",0,"2025-11-30","Dr. Geoffrey Balistreri","kadin_fadel@hotmail.com","(330) 887-6608 x3371","Vandervort, Goldner and Muller","Central Assurance Associate","2025-09-17T07:07:38.789Z","2025-10-14T14:21:32.845Z","email","2025-09-28","Vulariter conatus suffragium auctor tametsi quam claro."
"D00006","Hane - Wilderman - Soft Wooden Cheese",123444,"closed-lost",0,"2025-11-30","Dr. Geoffrey Balistreri","kadin_fadel@hotmail.com","(330) 887-6608 x3371","Vandervort, Goldner and Muller","Central Assurance Associate","2025-09-17T07:07:38.789Z","2025-10-14T14:21:32.845Z","call","2025-09-24","Arceo deleniti aedificium virga distinctio speciosus bonus."
"D00006","Hane - Wilderman - Soft Wooden Cheese",123444,"closed-lost",0,"2025-11-30","Dr. Geoffrey Balistreri","kadin_fadel@hotmail.com","(330) 887-6608 x3371","Vandervort, Goldner and Muller","Central Assurance Associate","2025-09-17T07:07:38.789Z","2025-10-14T14:21:32.845Z","call","2025-10-12","Quos sulum magnam."
"D00006","Hane - Wilderman - Soft Wooden Cheese",123444,"closed-lost",0,"2025-11-30","Dr. Geoffrey Balistreri","kadin_fadel@hotmail.com","(330) 887-6608 x3371","Vandervort, Goldner and Muller","Central Assurance Associate","2025-09-17T07:07:38.789Z","2025-10-14T14:21:32.845Z","meeting","2025-10-11","Fugiat deripio vereor speciosus amor comitatus conqueror utpote sunt."
"D00006","Hane - Wilderman - Soft Wooden Cheese",123444,"closed-lost",0,"2025-11-30","Dr. Geoffrey Balistreri","kadin_fadel@hotmail.com","(330) 887-6608 x3371","Vandervort, Goldner and Muller","Central Assurance Associate","2025-09-17T07:07:38.789Z","2025-10-14T14:21:32.845Z","meeting","2025-09-24","Agnitio delectus coniuratio decumbo."
"D00006","Hane - Wilderman - Soft Wooden Cheese",123444,"closed-lost",0,"2025-11-30","Dr. Geoffrey Balistreri","kadin_fadel@hotmail.com","(330) 887-6608 x3371","Vandervort, Goldner and Muller","Central Assurance Associate","2025-09-17T07:07:38.789Z","2025-10-14T14:21:32.845Z","email","2025-10-11","Carcer valeo adopto neque somniculosus."
